,title,authors,where_published,year,doi
0,The free energy principle induces intracellular compartmentalization,Fields C.,Biochem Biophys Res Commun,2024,10.1016/j.bbrc.2024.150070
1,"Form, function, mind: What doesn't compute (and what might)",Newman SA.,Biochem Biophys Res Commun,2024,10.1016/j.bbrc.2024.150141
2,When the interoceptive and conceptual clash: The case of oppositional phenomenal self-modelling in Tourette syndrome,"Parvizi-Wayne D, Severs L.",Cogn Affect Behav Neurosci,2024,10.3758/s13415-024-01189-6
3,The functional role of conscious sensation of movement,"Grünbaum T, Christensen MS.",Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2024.105813
4,Evolutionary leap: Prioritizing Bayesian cognition over socio-cultural transmission,Hurtado AM.,Phys Life Rev,2024,10.1016/j.plrev.2024.07.001
5,Sensorimotor learning during synchronous speech is modulated by the acoustics of the other voice,"Bradshaw AR, Wheeler ED, McGettigan C, Lametti DR.",Psychon Bull Rev,2024,10.3758/s13423-024-02536-x
6,'Snakes and ladders' in paleoanthropology: From cognitive surprise to skillfulness a million years ago,"Manrique HM, Friston KJ, Walker MJ.",Phys Life Rev,2024,10.1016/j.plrev.2024.01.004
7,Needing: An Active Inference Process for Physiological Motivation,"Bosulu J, Pezzulo G, Hétu S.",J Cogn Neurosci,2024,10.1162/jocn_a_02209
8,Blind CT Image Quality Assessment Using DDPM-derived Content and Transformer-based Evaluator,"Shi Y, Xia W, Wang G, Mou X.",IEEE Trans Med Imaging,2024,10.1109/TMI.2024.3418652
9,The fear-avoidance model as an embodied prediction of threat,"Varangot-Reille C, Pezzulo G, Thacker M.",Cogn Affect Behav Neurosci,2024,10.3758/s13415-024-01199-4
10,The Universal Optimism of the Self-Evidencing Mind,"Fisher EL, Hohwy J.",Entropy (Basel),2024,10.3390/e26060518
11,Narrative as active inference: an integrative account of cognitive and social functions in adaptation,"Bouizegarene N, Ramstead MJD, Constant A, Friston KJ, Kirmayer LJ.",Front Psychol,2024,10.3389/fpsyg.2024.1345480
12,Forgetting ourselves in flow: an active inference account of flow states and how we experience ourselves within them,"Parvizi-Wayne D, Sandved-Smith L, Pitliya RJ, Limanowski J, Tufft MRA, Friston KJ.",Front Psychol,2024,10.3389/fpsyg.2024.1354719
13,[Understanding and explaining functional movement disorders],"Popkirov S, Jungilligens J, Michaelis R.",Nervenarzt,2024,10.1007/s00115-024-01619-3
14,On Predictive Planning and Counterfactual Learning in Active Inference,"Paul A, Isomura T, Razi A.",Entropy (Basel),2024,10.3390/e26060484
15,Predictive Processing and the Pathophysiology of Functional Neurological Disorder,"Jungilligens J, Perez DL.",Curr Top Behav Neurosci,2024,10.1007/7854_2024_473
16,Why Paleolithic Rockstars were both enigmatic and sporadic: A comment on: 'Snakes and Ladders' in paleoanthropology: From cognitive surprise to skillfulness a million years ago,"Tickles D, Friedman DA.",Phys Life Rev,2024,10.1016/j.plrev.2024.04.010
17,Bayesian brain computing and the free-energy principle: an interview with Karl Friston,Lu W.,Natl Sci Rev,2024,10.1093/nsr/nwae025
18,A new perspective on positive symptoms: expression of damage or self-defence mechanism of the brain?,"Antonioni A, Raho EM, Sensi M, Di Lorenzo F, Fadiga L, Koch G.",Neurol Sci,2024,10.1007/s10072-024-07395-x
19,Active Inference With Empathy Mechanism for Socially Behaved Artificial Agents in Diverse Situations,"Matsumura T, Esaki K, Yang S, Yoshimura C, Mizuno H.",Artif Life,2024,10.1162/artl_a_00416
20,Minimizing Entropy and Complexity in Creative Production from Emergent Pragmatics to Action Semantics,Fox S.,Entropy (Basel),2024,10.3390/e26050364
21,"Imagination vs. routines: festive time, weekly time, and the predictive brain","Bortolotti A, Conti A, Romagnoli A, Sacco PL.",Front Hum Neurosci,2024,10.3389/fnhum.2024.1357354
22,Collective behavior from surprise minimization,"Heins C, Millidge B, Da Costa L, Mann RP, Friston KJ, Couzin ID.",Proc Natl Acad Sci U S A,2024,10.1073/pnas.2320239121
23,An Overview of the Free Energy Principle and Related Research,"Zhang Z, Xu F.",Neural Comput,2024,10.1162/neco_a_01642
24,Feeling our place in the world: an active inference account of self-esteem,"Albarracin M, Bouchard-Joly G, Sheikhbahaee Z, Miller M, Pitliya RJ, Poirier P.",Neurosci Conscious,2024,10.1093/nc/niae007
25,Neural representation in active inference: Using generative models to interact with-and understand-the lived world,"Pezzulo G, D'Amato L, Mannella F, Priorelli M, Van de Maele T, Stoianov IP, Friston K.",Ann N Y Acad Sci,2024,10.1111/nyas.15118
26,Shared Protentions in Multi-Agent Active Inference,"Albarracin M, Pitliya RJ, St Clere Smithe T, Friedman DA, Friston K, Ramstead MJD.",Entropy (Basel),2024,10.3390/e26040303
27,Markov Blankets and Mirror Symmetries-Free Energy Minimization and Mesocortical Anatomy,"Wright J, Bourke P.",Entropy (Basel),2024,10.3390/e26040287
28,Resolving uncertainty on the fly: modeling adaptive driving behavior as active inference,"Engström J, Wei R, McDonald AD, Garcia A, O'Kelly M, Johnson L.",Front Neurorobot,2024,10.3389/fnbot.2024.1341750
29,Object-Centric Scene Representations Using Active Inference,"Van de Maele T, Verbelen T, Mazzaglia P, Ferraro S, Dhoedt B.",Neural Comput,2024,10.1162/neco_a_01637
30,"Arousal coherence, uncertainty, and well-being: an active inference account","Biddell H, Solms M, Slagter H, Laukkonen R.",Neurosci Conscious,2024,10.1093/nc/niae011
31,Digital Being: social media and the predictive mind,"White B, Clark A, Miller M.",Neurosci Conscious,2024,10.1093/nc/niae008
32,"The police hunch: the Bayesian brain, active inference, and the free energy principle in action","Stubbs G, Friston K.",Front Psychol,2024,10.3389/fpsyg.2024.1368265
33,"Physical reasoning is the missing link between action goals and kinematics: A comment on ""An active inference model of hierarchical action understanding, learning, and imitation"" by Proietti et al",Fischer J.,Phys Life Rev,2024,10.1016/j.plrev.2023.08.017
34,An active inference perspective for the amygdala complex,"Sladky R, Kargl D, Haubensak W, Lamm C.",Trends Cogn Sci,2024,10.1016/j.tics.2023.11.004
35,"Classification of particles with respect to active inference properties as a path towards formalizing agency Comment on ""Path integrals, particular kinds, and strange things"" by K. Friston, L. Da Costa, D. A. R. Sakthivadivel, C. Heins, G. A. Pavliotis, M. Ramstead, T. Parr",Kuchling F.,Phys Life Rev,2024,10.1016/j.plrev.2023.11.015
36,Pain suffering and the self. An active allostatic inference explanation,Gerrans P.,Neurosci Conscious,2024,10.1093/nc/niae002
37,Migraine as an allostatic reset triggered by unresolved interoceptive prediction errors,"Sedley W, Kumar S, Jones S, Levy A, Friston K, Griffiths T, Goldsmith P.",Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2024.105536
38,Active inference as a theory of sentient behavior,"Pezzulo G, Parr T, Friston K.",Biol Psychol,2024,10.1016/j.biopsycho.2023.108741
39,To be or not to be: The active inference of suicide,"Krupnik V, Danilova N.",Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2023.105531
40,The empirical status of predictive coding and active inference,"Hodson R, Mehta M, Smith R.",Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2023.105473
41,Generating meaning: active inference and the scope and limits of passive AI,"Pezzulo G, Parr T, Cisek P, Clark A, Friston K.",Trends Cogn Sci,2024,10.1016/j.tics.2023.10.002
42,Cultivating creativity: predictive brains and the enlightened room problem,"Constant A, Friston KJ, Clark A.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0415
43,Order and change in art: towards an active inference account of aesthetic experience,"Van de Cruys S, Frascaroli J, Friston K.",Philos Trans R Soc Lond B Biol Sci,2024,10.1098/rstb.2022.0411
44,"I like therefore I can, and I can therefore I like: the role of self-efficacy and affect in active inference of allostasis",Krupnik V.,Front Neural Circuits,2024,10.3389/fncir.2024.1283372
45,Spatial and Temporal Hierarchy for Autonomous Navigation Using Active Inference in Minigrid Environment,"de Tinguy D, Van de Maele T, Verbelen T, Dhoedt B.",Entropy (Basel),2024,10.3390/e26010083
46,From active affordance to active inference: vertical integration of cognition in the cerebral cortex through dual subcortical control systems,"Luu P, Tucker DM, Friston K.",Cereb Cortex,2024,10.1093/cercor/bhad458
47,"Bistable perception, precision and neuromodulation","Novicky F, Parr T, Friston K, Mirza MB, Sajid N.",Cereb Cortex,2024,10.1093/cercor/bhad401
48,Natural language syntax complies with the free-energy principle,"Murphy E, Holmes E, Friston K.",Synthese,2024,10.1007/s11229-024-04566-3
49,Federated inference and belief sharing,"Friston KJ, Parr T, Heins C, Constant A, Friedman D, Isomura T, Fields C, Verbelen T, Ramstead M, Clippinger J, Frith CD.",Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2023.105500
50,Interoceptive technologies for psychiatric interventions: From diagnosis to clinical applications,"Schoeller F, Horowitz AH, Jain A, Maes P, Reggente N, Christov-Moore L, Pezzulo G, Barca L, Allen M, Salomon R, Miller M, Di Lernia D, Riva G, Tsakiris M, Chalah MA, Klein A, Zhang B, Garcia T, Pollack U, Trousselard M, Verdonk C, Dumas G, Adrien V, Friston K.",Neurosci Biobehav Rev,2024,10.1016/j.neubiorev.2023.105478
51,Does Active Inference Provide a Comprehensive Theory of Placebo Analgesia?,"Milde C, Brinskelle LS, Glombiewski JA.",Biol Psychiatry Cogn Neurosci Neuroimaging,2024,10.1016/j.bpsc.2023.08.007
52,Nested Selves: Self-Organization and Shared Markov Blankets in Prenatal Development in Humans,"Ciaunica A, Levin M, Rosas FE, Friston K.",Top Cogn Sci,2023,10.1111/tops.12717
53,Deep kinematic inference affords efficient and scalable control of bodily movements,"Priorelli M, Pezzulo G, Stoianov IP.",Proc Natl Acad Sci U S A,2023,10.1073/pnas.2309058120
54,Action imagery as active inference: a commentary on Rieger et al. (2023),"Immink MA, Corcoran AW.",Psychol Res,2023,10.1007/s00426-023-01900-1
55,"A guided tour through the spaces of particular ""minds"": A Comment on ""Path integrals, particular kinds, and strange things""","Rahmjoo A, Friedman DA.",Phys Life Rev,2023,10.1016/j.plrev.2023.11.001
56,"Strange things, statespace representation, and participatory realism Comment on ""Path Integrals, Particular Kinds, and Strange Things."" by Friston et al",Guénin-Carlut A.,Phys Life Rev,2023,10.1016/j.plrev.2023.10.027
57,"Studying the hierarchy of actions from motor primitives: Comment on ""An active inference model of hierarchical action understanding, learning and imitation""","D'Ausilio A, Tomassini A.",Phys Life Rev,2023,10.1016/j.plrev.2023.08.019
58,"Visual context drives uncertainty-reduction and novelty-seeking exploration during action understanding: Comment on: ""An active inference model of hierarchical action understanding, learning, and imitation"" by Riccardo Proietti, Giovanni Pezzulo and Alessia Tessari",Kalénine S.,Phys Life Rev,2023,10.1016/j.plrev.2023.08.011
59,Predictability alters information flow during action observation in human electrocorticographic activity,"Qin C, Michon F, Onuki Y, Ishishita Y, Otani K, Kawai K, Fries P, Gazzola V, Keysers C.",Cell Rep,2023,10.1016/j.celrep.2023.113432
60,Modeling and controlling the body in maladaptive ways: an active inference perspective on non-suicidal self-injury behaviors,"Laura B, Maisto D, Pezzulo G.",Neurosci Conscious,2023,10.1093/nc/niad025
61,Special Issue: Experiencing Well-BeingPlayfulness and the meaningful life: an active inference perspective,"Kiverstein J, Miller M.",Neurosci Conscious,2023,10.1093/nc/niad024
62,Action-rule-based cognitive control enables efficient execution of stimulus-response conflict tasks: a model validation of Simon task performance,"Otani Y, Katagiri Y, Imai E, Kowa H.",Front Hum Neurosci,2023,10.3389/fnhum.2023.1239207
63,"Hierarchical network structure as the source of hierarchical dynamics (power-law frequency spectra) in living and non-living systems: How state-trait continua (body plans, personalities) emerge from first principles in biophysics","Goekoop R, de Kleijn R.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2023.105402
64,Active learning impairments in substance use disorders when resolving the explore-exploit dilemma: A replication and extension of previous computational modeling results,"Taylor S, Lavalley CA, Hakimi N, Stewart JL, Ironside M, Zheng H, White E, Guinjoan S, Paulus MP, Smith R.",Drug Alcohol Depend,2023,10.1016/j.drugalcdep.2023.110945
65,Analgesia for the Bayesian Brain: How Predictive Coding Offers Insights Into the Subjectivity of Pain,"Lersch FE, Frickmann FCS, Urman RD, Burgermeister G, Siercks K, Luedi MM, Straumann S.",Curr Pain Headache Rep,2023,10.1007/s11916-023-01122-5
66,Investigating how Explicit Contextual Cues Affect Predictive Sensorimotor Control in Autistic Adults,"Arthur T, Brosnan M, Harris D, Buckingham G, Wilson M, Williams G, Vine S.",J Autism Dev Disord,2023,10.1007/s10803-022-05718-5
67,Incremental Learning of Goal-Directed Actions in a Dynamic Environment by a Robot Using Active Inference,"Matsumoto T, Ohata W, Tani J.",Entropy (Basel),2023,10.3390/e25111506
68,An Introduction to Predictive Processing Models of Perception and Decision-Making,"Sprevak M, Smith R.",Top Cogn Sci,2023,10.1111/tops.12704
69,"The Projective Consciousness Model: Projective Geometry at the Core of Consciousness and the Integration of Perception, Imagination, Motivation, Emotion, Social Cognition and Action","Rudrauf D, Sergeant-Perthuis G, Tisserand Y, Poloudenny G, Williford K, Amorim MA.",Brain Sci,2023,10.3390/brainsci13101435
70,Myth of objectivity and the origin of symbols,Rahman S.,Front Sociol,2023,10.3389/fsoc.2023.1269621
71,The osteopath-parent-child triad in osteopathic care in the first 2 years of life: a qualitative study,"Accardi C, Cerritelli F, Bovo L, Esteves JE.",Front Psychol,2023,10.3389/fpsyg.2023.1253355
72,Relative fluency (unfelt vs felt) in active inference,"Brouillet D, Friston K.",Conscious Cogn,2023,10.1016/j.concog.2023.103579
73,Insight and the selection of ideas,"Laukkonen RE, Webb M, Salvi C, Tangen JM, Slagter HA, Schooler JW.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2023.105363
74,The interpersonal computational psychiatry of social coordination in schizophrenia,"Pan Y, Wen Y, Jin J, Chen J.",Lancet Psychiatry,2023,10.1016/S2215-0366(23)00146-3
