,title,authors,where_published,year,doi
148,The Pleasurable Urge to Move to Music Through the Lens of Learning Progress,"Matthews TE, Stupacher J, Vuust P.",J Cogn,2023,10.5334/joc.320
149,Body as First Teacher: The Role of Rhythmic Visceral Dynamics in Early Cognitive Development,"Corcoran AW, Perrykkad K, Feuerriegel D, Robinson JE.",Perspect Psychol Sci,2023,10.1177/17456916231185343
150,Impaired prediction of ongoing events in posttraumatic stress disorder,"Eisenberg ML, Rodebaugh TL, Flores S, Zacks JM.",Neuropsychologia,2023,10.1016/j.neuropsychologia.2023.108636
151,The effect of context congruency on fMRI repetition suppression for objects,"Li C, Ficco L, Trapp S, Rostalski SM, Korn L, Kovács G.",Neuropsychologia,2023,10.1016/j.neuropsychologia.2023.108603
152,The Audiovisual Mismatch Negativity in Predictive and Non-Predictive Speech Stimuli in Older Adults With and Without Hearing Loss,"Randazzo M, Smith PJ, Priefer R, Senzer DR, Froud K.",Multisens Res,2023,10.1163/22134808-bja10106
153,Propofol-mediated loss of consciousness disrupts predictive routing and local field phase modulation of neural activity,"Xiong YS, Donoghue JA, Lundqvist M, Mahnke M, Major AJ, Brown EN, Miller EK, Bastos AM.",bioRxiv,2023,10.1101/2023.09.02.555990
154,Feedback signals in visual cortex during episodic and schematic memory retrieval and their potential implications for aphantasia,"Bergmann J, Ortiz-Tudela J.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2023.105335
155,Mismatch negativity and clinical trajectories in psychotic disorders: Five-year stability and predictive utility,"Donaldson KR, Jonas K, Foti D, Larsen EM, Mohanty A, Kotov R.",Psychol Med,2023,10.1017/S0033291722003075
156,"Mental Gravity: Depression as Spacetime Curvature of the Self, Mind, and Brain",Kent L.,Entropy (Basel),2023,10.3390/e25091275
157,Long COVID as a functional somatic symptom disorder caused by abnormally precise prior expectations during Bayesian perceptual processing: A new hypothesis and implications for pandemic response,"Joffe AR, Elliott A.",SAGE Open Med,2023,10.1177/20503121231194400
158,Sequence anticipation and spike-timing-dependent plasticity emerge from a predictive learning rule,"Saponati M, Vinck M.",Nat Commun,2023,10.1038/s41467-023-40651-w
159,Longitudinal Evidence for Attenuated Local-Global Deviance Detection as a Precursor of Working Memory Decline,"Hsu YF, Tu CA, Bekinschtein TA, Hämäläinen JA.",eNeuro,2023,10.1523/ENEURO.0156-23.2023
160,Objects sharpen visual scene representations: evidence from MEG decoding,"Brandman T, Peelen MV.",Cereb Cortex,2023,10.1093/cercor/bhad222
161,The impact of spatial variance on precision estimates in an auditory oddball paradigm,"Yeark M, Paton B, Todd J.",Cortex,2023,10.1016/j.cortex.2023.04.003
162,Visual Information Is Predictively Encoded in Occipital Alpha/Low-Beta Oscillations,"Turner W, Blom T, Hogendoorn H.",J Neurosci,2023,10.1523/JNEUROSCI.0135-23.2023
163,Predicting phonological information in language comprehension: evidence from ERP representational similarity analysis and Chinese idioms,"Wei W, Huang Z, Feng C, Qu Q.",Cereb Cortex,2023,10.1093/cercor/bhad209
164,Intact predictive processing in autistic adults: evidence from statistical learning,"Pesthy O, Farkas K, Sapey-Triomphe LA, Guttengéber A, Komoróczy E, Janacsek K, Réthelyi JM, Németh D.",Sci Rep,2023,10.1038/s41598-023-38708-3
165,Turkish-German heritage speakers' predictive use of case: webcam-based vs. in-lab eye-tracking,"Özsoy O, Çiçek B, Özal Z, Gagarina N, Sekerina IA.",Front Psychol,2023,10.3389/fpsyg.2023.1155585
166,Brief Temporal Perturbations in Somatosensory Reafference Disrupt Perceptual and Neural Attenuation and Increase Supplementary Motor Area-Cerebellar Connectivity,"Kilteni K, Houborg C, Ehrsson HH.",J Neurosci,2023,10.1523/JNEUROSCI.1743-22.2023
167,Touching and being touched: where knowing and feeling meet,Fischman L.,Front Psychol,2023,10.3389/fpsyg.2023.1097402
168,Dual-stream cortical pathways mediate sensory prediction,"Chu Q, Ma O, Hang Y, Tian X.",Cereb Cortex,2023,10.1093/cercor/bhad168
169,A Bayesian predictive processing account of Othello syndrome in Parkinson's disease,"Foley JA, Chen C, Paget A, Cipolotti L.",Cogn Neuropsychiatry,2023,10.1080/13546805.2023.2229080
170,Sensitivity to syllable stress regularities in externally but not self-triggered speech in Dutch,"Emmendorfer AK, Bonte M, Jansma BM, Kotz SA.",Eur J Neurosci,2023,10.1111/ejn.16003
171,Predictive neural representations of naturalistic dynamic input,"de Vries IEJ, Wurm MF.",Nat Commun,2023,10.1038/s41467-023-39355-y
172,Noninvasive modulation of predictive coding in humans: causal evidence for frequency-specific temporal dynamics,"Draganov M, Galiano-Landeira J, Doruk Camsari D, Ramírez JE, Robles M, Chanes L.",Cereb Cortex,2023,10.1093/cercor/bhad127
173,Neural correlates of hierarchical predictive processes in autistic adults,"Sapey-Triomphe LA, Pattyn L, Weilnhammer V, Sterzer P, Wagemans J.",Nat Commun,2023,10.1038/s41467-023-38580-9
174,"EEG mismatch responses in a multimodal roving stimulus paradigm provide evidence for probabilistic inference across audition, somatosensation, and vision","Grundei M, Schröder P, Gijsen S, Blankenburg F.",Hum Brain Mapp,2023,10.1002/hbm.26303
175,Coherent mapping of position and head direction across auditory and visual cortex,"Mertens PEC, Marchesi P, Ruikes TR, Oude Lohuis M, Krijger Q, Pennartz CMA, Lansink CS.",Cereb Cortex,2023,10.1093/cercor/bhad045
176,Modality-specific and modality-independent neural representations work in concert in predictive processes during sequence learning,"Vékony T, Takács Á, Pedraza F, Haesebaert F, Tillmann B, Mihalecz I, Phelipon R, Beste C, Nemeth D.",Cereb Cortex,2023,10.1093/cercor/bhad079
177,Pre-attentive representation of prediction certainty in autism: A mismatch negativity (MMN) study,"Reisli S, Molholm S.",bioRxiv,2023,10.1101/2023.06.06.543878
178,Increased top-down semantic processing in natural speech linked to better reading in dyslexia,"Klimovich-Gray A, Di Liberto G, Amoruso L, Barrena A, Agirre E, Molinaro N.",Neuroimage,2023,10.1016/j.neuroimage.2023.120072
179,Worlds apart? Testing the cultural distance hypothesis in music perception of Chinese and Western listeners,"Klarlund M, Brattico E, Pearce M, Wu Y, Vuust P, Overgaard M, Du Y.",Cognition,2023,10.1016/j.cognition.2023.105405
180,Role of Culture in Meaning Making: Bridging Semiotic Cultural Psychology and Active Inference,Kerusauskaite S.,Integr Psychol Behav Sci,2023,10.1007/s12124-022-09744-x
181,Testing Bayesian models of belief updating in the context of depressive symptomatology,"Feldmann M, Kube T, Rief W, Brakemeier EL.",Int J Methods Psychiatr Res,2023,10.1002/mpr.1946
182,Omission responses in local field potentials in rat auditory cortex,"Auksztulewicz R, Rajendran VG, Peng F, Schnupp JWH, Harper NS.",BMC Biol,2023,10.1186/s12915-023-01592-4
183,Cortical speech tracking is related to individual prediction tendencies,"Schubert J, Schmidt F, Gehmacher Q, Bresgen A, Weisz N.",Cereb Cortex,2023,10.1093/cercor/bhac528
184,Conceptual Associations Generate Sensory Predictions,"Yan C, de Lange FP, Richter D.",J Neurosci,2023,10.1523/JNEUROSCI.1874-22.2023
185,Between alpha and gamma oscillations: Neural signatures of linguistic predictions and listener's attention to speaker's communication intention,"Stinkeste C, Vincent MA, Delrue L, Brunellière A.",Biol Psychol,2023,10.1016/j.biopsycho.2023.108583
186,"Moderate associations between BDNF Val66Met gene polymorphism, musical expertise, and mismatch negativity","Bonetti L, Bruzzone SEP, Paunio T, Kantojärvi K, Kliuchko M, Vuust P, Palva S, Brattico E.",Heliyon,2023,10.1016/j.heliyon.2023.e15600
187,From fear of falling to choking under pressure: A predictive processing perspective of disrupted motor control under anxiety,"Harris DJ, Wilkinson S, Ellmers TJ.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2023.105115
188,Stimulus-specific prediction error neurons in mouse auditory cortex,"Audette NJ, Schneider DM.",bioRxiv,2023,10.1101/2023.01.06.523032
189,Accuracy and reconstruction in autobiographical memory: (Re)consolidating neuroscience and sociocultural developmental approaches,"Fivush R, Grysman A.",Wiley Interdiscip Rev Cogn Sci,2023,10.1002/wcs.1620
190,No differences between adults with and without autism in audiovisual synchrony perception,"Weiland RF, Polderman TJ, Smit DJ, Begeer S, Van der Burg E.",Autism,2023,10.1177/13623613221121414
191,Intertwining the social and the cognitive loops: socially enactive cognition for human-compatible interactive systems,"Kahl S, Kopp S.",Philos Trans R Soc Lond B Biol Sci,2023,10.1098/rstb.2021.0474
192,Multimodal mismatch responses in associative but not primary visual cortex support hierarchical predictive coding in cortical networks,"Van Derveer AB, Ross JM, Hamm JP.",bioRxiv,2023,10.1101/2023.04.12.536573
193,"Correspondence of functional connectivity gradients across human isocortex, cerebellum, and hippocampus","Katsumi Y, Zhang J, Chen D, Kamona N, Bunce JG, Hutchinson JB, Yarossi M, Tunik E, Dickerson BC, Quigley KS, Barrett LF.",Commun Biol,2023,10.1038/s42003-023-04796-0
194,Proactive or reactive? Neural oscillatory insight into the leader-follower dynamics of early infant-caregiver interaction,"Phillips EAM, Goupil L, Whitehorn M, Bruce-Gardyne E, Csolsim FA, Marriott-Haresign I, Wass SV.",Proc Natl Acad Sci U S A,2023,10.1073/pnas.2122481120
195,"Seeing Ɔ, remembering C: Illusions in short-term memory","Otten M, Seth AK, Pinto Y.",PLoS One,2023,10.1371/journal.pone.0283257
196,Linking the past to the future by predictive processing: Implications for psychopathology,"Jin J, Jonas K, Mohanty A.",J Psychopathol Clin Sci,2023,10.1037/abn0000730
197,Cross-clause planning in Nungon (Papua New Guinea): Eye-tracking evidence,"Sarvasy HS, Morgan AM, Yu J, Ferreira VS, Momma S.",Mem Cognit,2023,10.3758/s13421-021-01253-3
198,Locomotion-induced gain of visual responses cannot explain visuomotor mismatch responses in layer 2/3 of primary visual cortex,"Vasilevskaya A, Widmer FC, Keller GB, Jordan R.",Cell Rep,2023,10.1016/j.celrep.2023.112096
199,Salient omissions-pupil dilation in response to unexpected omissions of sound and touch,"Dercksen TT, Widmann A, Wetzel N.",Front Psychiatry,2023,10.3389/fpsyt.2023.1143931
200,Cross-Modality Evidence for Reduced Choice History Biases in Psychosis-Prone Individuals,"Eckert AL, Gounitski Y, Guggenmos M, Sterzer P.",Schizophr Bull,2023,10.1093/schbul/sbac168
201,Predictive Processing of Scene Layout Depends on Naturalistic Depth of Field,"Gandolfo M, Nägele H, Peelen MV.",Psychol Sci,2023,10.1177/09567976221140341
202,Play in predictive minds: A cognitive theory of play,"Andersen MM, Kiverstein J, Miller M, Roepstorff A.",Psychol Rev,2023,10.1037/rev0000369
203,Expectations of efficient actions bias social perception: a pre-registered online replication,"McDonough KL, Bach P.",R Soc Open Sci,2023,10.1098/rsos.220889
204,"Converging theories on dreaming: Between Freud, predictive processing, and psychedelic research","Koslowski M, de Haas MP, Fischmann T.",Front Hum Neurosci,2023,10.3389/fnhum.2023.1080177
205,Differentiating between Bayesian parameter learning and structure learning based on behavioural and pupil measures,"Rutar D, Colizoli O, Selen L, Spieß L, Kwisthout J, Hunnius S.",PLoS One,2023,10.1371/journal.pone.0270619
206,Speech comprehension in noisy environments: Evidence from the predictability effects on the N400 and LPC,"Hsin CH, Chao PC, Lee CY.",Front Psychol,2023,10.3389/fpsyg.2023.1105346
207,The role of the cerebellum in sequencing and predicting social and non-social events in patients with bipolar disorder,"Siciliano L, Olivito G, Lupo M, Urbini N, Gragnani A, Saettoni M, Delle Chiaie R, Leggio M.",Front Cell Neurosci,2023,10.3389/fncel.2023.1095157
208,Copredication and Complexity Revisited: Reply to Murphy's Reply,"Michel C, Löhr G.",Cogn Sci,2023,10.1111/cogs.13249
209,Multivariate functional neuroimaging analyses reveal that strength-dependent face expectations are represented in higher-level face-identity areas,"Blank H, Alink A, Büchel C.",Commun Biol,2023,10.1038/s42003-023-04508-8
210,Temporal hierarchies in the predictive processing of melody - From pure tones to songs,"Basiński K, Quiroga-Martinez DR, Vuust P.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2022.105007
211,The Fit-for-Purpose Model: Conceptualizing and Managing Chronic Nonspecific Low Back Pain as an Information Problem,"Wand BM, Cashin AG, McAuley JH, Bagg MK, Orange GM, Moseley GL.",Phys Ther,2023,10.1093/ptj/pzac151
212,Interaction between Functional Connectivity and Neural Excitability in Autism: A Novel Framework for Computational Modeling and Application to Biological Data,"Takahashi Y, Murata S, Ueki M, Tomita H, Yamashita Y.",Comput Psychiatr,2023,10.5334/cpsy.93
213,Dissociating Hippocampal and Cortical Contributions to Predictive Processing,"Mynick A, Steel A.",J Neurosci,2023,10.1523/JNEUROSCI.1840-22.2022
214,Expectations boost the reconstruction of auditory features from electrophysiological responses to noisy speech,"Corcoran AW, Perera R, Koroma M, Kouider S, Hohwy J, Andrillon T.",Cereb Cortex,2023,10.1093/cercor/bhac094
215,"No common factor for illusory percepts, but a link between pareidolia and delusion tendency: A test of predictive coding theory","Lhotka M, Ischebeck A, Helmlinger B, Zaretskaya N.",Front Psychol,2023,10.3389/fpsyg.2022.1067985
216,Trust in Social Interaction: From Dyads to Civilizations,"Christov-Moore L, Bolis D, Kaplan J, Schilbach L, Iacoboni M.",Social and Affective Neuroscience of Everyday Human Interaction: From Theory to Methodology,2023,10.1007/978-3-031-08651-9_8
217,Cessations of consciousness in meditation: Advancing a scientific understanding of nirodha samāpatti,"Laukkonen RE, Sacchet MD, Barendregt H, Devaney KJ, Chowdhury A, Slagter HA.",Prog Brain Res,2023,10.1016/bs.pbr.2022.12.007
218,Memory Versus Expectation: Processing Relative Clauses in a Flexible Word Order Language,"Ronai E, Xiang M.",Cogn Sci,2023,10.1111/cogs.13227
219,Changes in both top-down and bottom-up effective connectivity drive visual hallucinations in Parkinson's disease,"Thomas GEC, Zeidman P, Sultana T, Zarkali A, Razi A, Weil RS.",Brain Commun,2022,10.1093/braincomms/fcac329
220,Where is the error? Hierarchical predictive coding through dendritic error computation,"Mikulasch FA, Rudelt L, Wibral M, Priesemann V.",Trends Neurosci,2023,10.1016/j.tins.2022.09.007
221,Virtual occlusion effects on the perception of self-initiated visual stimuli,"Kiepe F, Kraus N, Hesselmann G.",Conscious Cogn,2023,10.1016/j.concog.2022.103460
222,Concurrent contextual and time-distant mnemonic information co-exist as feedback in the human visual cortex,"Ortiz-Tudela J, Bergmann J, Bennett M, Ehrlich I, Muckli L, Shing YL.",Neuroimage,2023,10.1016/j.neuroimage.2022.119778
223,Linked auditory and motor patterns in the improvisation vocabulary of an artist-level jazz pianist,"Norgaard M, Bales K, Hansen NC.",Cognition,2023,10.1016/j.cognition.2022.105308
224,"Hebbian, correlational learning provides a memory-less mechanism for Statistical Learning irrespective of implementational choices: Reply to Tovar and Westermann (2022)","Endress AD, Johnson SP.",Cognition,2023,10.1016/j.cognition.2022.105290
225,The language marker hypothesis,Hagoort P.,Cognition,2023,10.1016/j.cognition.2022.105252
226,Selection history and task predictability determine the precision expectations in attentional control,"Abbasi H, Henare D, Kadel H, Schubö A.",Psychophysiology,2023,10.1111/psyp.14151
227,A neural mechanism underlying predictive visual motion processing in patients with schizophrenia,"Scheliga S, Schwank R, Scholle R, Habel U, Kellermann T.",Psychiatry Res,2022,10.1016/j.psychres.2022.114934
228,Speech register influences listeners' word expectations,"Bentum M, Ten Bosch L, van den Bosch A, Ernestus M.",Brain Lang,2022,10.1016/j.bandl.2022.105197
229,Reconstructing the predictive architecture of the mind and brain,"de Lange FP, Schmitt LM, Heilbron M.",Trends Cogn Sci,2022,10.1016/j.tics.2022.08.007
230,Integrated world modeling theory expanded: Implications for the future of consciousness,Safron A.,Front Comput Neurosci,2022,10.3389/fncom.2022.642397
231,A cognitive modeling approach to learning and using reference biases in language,"Toth AG, Hendriks P, Taatgen NA, van Rij J.",Front Artif Intell,2022,10.3389/frai.2022.933504
232,Altered sensorimotor processing in irritable bowel syndrome: Evidence for a transdiagnostic pathomechanism in functional somatic disorders,"Schröder L, Regnath F, Glasauer S, Hackenberg A, Hente J, Weilenmann S, Pohl D, von Känel R, Lehnen N.",Front Neurosci,2022,10.3389/fnins.2022.1029126
233,"Mapping relational links between motor imagery, action observation, action-related language, and action execution",O'Shea H.,Front Hum Neurosci,2022,10.3389/fnhum.2022.984053
234,"Predictive coding, multisensory integration, and attentional control: A multicomponent framework for lucid dreaming","Simor P, Bogdány T, Peigneux P.",Proc Natl Acad Sci U S A,2022,10.1073/pnas.2123418119
235,Predictive processing and perception: What does imagining have to do with it?,Cavedon-Taylor D.,Conscious Cogn,2022,10.1016/j.concog.2022.103419
236,Psychedelics and schizophrenia: Distinct alterations to Bayesian inference,"Rajpal H, Mediano PAM, Rosas FE, Timmermann CB, Brugger S, Muthukumaraswamy S, Seth AK, Bor D, Carhart-Harris RL, Jensen HJ.",Neuroimage,2022,10.1016/j.neuroimage.2022.119624
237,Autistic-Like Traits and Positive Schizotypy as Diametric Specializations of the Predictive Mind,Andersen BP.,Perspect Psychol Sci,2022,10.1177/17456916221075252
238,Predictions built upon belongings,Grisoni L.,Front Psychol,2022,10.3389/fpsyg.2022.994098
239,Prediction Cannot Be Directly Trained: An Extension to Jones and Westermann (2021),"Jones SD, Westermann G.",J Speech Lang Hear Res,2022,10.1044/2022_JSLHR-22-00332
240,Musicians show more integrated neural processing of contextually relevant acoustic features,"Hansen NC, Højlund A, Møller C, Pearce M, Vuust P.",Front Neurosci,2022,10.3389/fnins.2022.907540
241,Experimental Sleep Deprivation Results in Diminished Perceptual Stability Independently of Psychosis Proneness,"Balter LJT, Matheson GJ, Sundelin T, Sterzer P, Petrovic P, Axelsson J.",Brain Sci,2022,10.3390/brainsci12101338
242,Allostasis as a core feature of hierarchical gradients in the human brain,"Katsumi Y, Theriault JE, Quigley KS, Barrett LF.",Netw Neurosci,2022,10.1162/netn_a_00240
243,How childhood maltreatment alters perception and cognition - the predictive processing account of borderline personality disorder,"Herzog P, Kube T, Fassbinder E.",Psychol Med,2022,10.1017/S0033291722002458
244,The seductive allure of cargo cult computationalism,Allen M.,Behav Brain Sci,2022,10.1017/S0140525X22000279
245,Intention-based predictive information modulates auditory deviance processing,"Widmann A, Schröger E.",Front Neurosci,2022,10.3389/fnins.2022.995119
246,The relation between rhythm processing and cognitive abilities during child development: The role of prediction,"Frischen U, Degé F, Schwarzer G.",Front Psychol,2022,10.3389/fpsyg.2022.920513
247,Knowing and being known: Psychedelic-assisted psychotherapy and the sense of authenticity,Fischman LG.,Front Psychiatry,2022,10.3389/fpsyt.2022.933495
248,The Online Processing of Korean Case by Native Korean Speakers and Second Language Learners as Revealed by Eye Movements,"Frenck-Mestre C, Choo H, Zappa A, Herschensohn J, Kim SK, Ghio A, Koh S.",Brain Sci,2022,10.3390/brainsci12091230
249,Repeating patterns: Predictive processing suggests an aesthetic learning role of the basal ganglia in repetitive stereotyped behaviors,"Spee BTM, Sladky R, Fingerhut J, Laciny A, Kraus C, Carls-Diamante S, Brücke C, Pelowski M, Treven M.",Front Psychol,2022,10.3389/fpsyg.2022.930293
250,What if consciousness is not an emergent property of the brain? Observational and empirical challenges to materialistic models,"Wahbeh H, Radin D, Cannard C, Delorme A.",Front Psychol,2022,10.3389/fpsyg.2022.955594
251,Temporal binding of social events less pronounced in individuals with Autism Spectrum Disorder,"Vogel DHV, Jording M, Esser C, Conrad A, Weiss PH, Vogeley K.",Sci Rep,2022,10.1038/s41598-022-19309-y
252,Egocentric biases are predicted by the precision of self-related predictions,"Sevi L, Stantic M, Murphy J, Coll MP, Catmur C, Bird G.",Cortex,2022,10.1016/j.cortex.2022.04.021
253,Enhanced mismatch negativity in harmonic compared with inharmonic sounds,"Quiroga-Martinez DR, Basiński K, Nasielski J, Tillmann B, Brattico E, Cholvy F, Fornoni L, Vuust P, Caclin A.",Eur J Neurosci,2022,10.1111/ejn.15769
254,An Active Inference Account of Skilled Anticipation in Sport: Using Computational Models to Formalise Theory and Generate New Hypotheses,"Harris DJ, Arthur T, Broadbent DP, Wilson MR, Vine SJ, Runswick OR.",Sports Med,2022,10.1007/s40279-022-01689-w
255,"Prediction in the Aging Brain: Merging Cognitive, Neurological, and Evolutionary Perspectives","Brown RM, Gruijters SLK, Kotz SA.",J Gerontol B Psychol Sci Soc Sci,2022,10.1093/geronb/gbac062
256,The impact of cerebellar transcranial direct current stimulation (tDCS) on sensorimotor and inter-sensory temporal recalibration,"Schmitter CV, Straube B.",Front Hum Neurosci,2022,10.3389/fnhum.2022.998843
257,A new science of emotion: implications for functional neurological disorder,"Jungilligens J, Paredes-Echeverri S, Popkirov S, Barrett LF, Perez DL.",Brain,2022,10.1093/brain/awac204
258,What is neurorepresentationalism? From neural activity and predictive processing to multi-level representations and consciousness,Pennartz CMA.,Behav Brain Res,2022,10.1016/j.bbr.2022.113969
259,Dampened sensory representations for expected input across the ventral visual stream,"Richter D, Heilbron M, de Lange FP.",Oxf Open Neurosci,2022,10.1093/oons/kvac013
260,Predictive processing in depression: Increased prediction error following negative valence contexts and influence of recent mood-congruent yet irrelevant experiences,"Ramos-Grille I, Weyant J, Wormwood JB, Robles M, Vallès V, Camprodon JA, Chanes L.",J Affect Disord,2022,10.1016/j.jad.2022.05.030
261,"The sweet spot between predictability and surprise: musical groove in brain, body, and social interactions","Stupacher J, Matthews TE, Pando-Naude V, Foster Vander Elst O, Vuust P.",Front Psychol,2022,10.3389/fpsyg.2022.906190
262,A hierarchy of linguistic predictions during natural language comprehension,"Heilbron M, Armeni K, Schoffelen JM, Hagoort P, de Lange FP.",Proc Natl Acad Sci U S A,2022,10.1073/pnas.2201968119
263,Machines That Feel and Think: The Role of Affective Feelings and Mental Action in (Artificial) General Intelligence,Deane G.,Artif Life,2022,10.1162/artl_a_00368
264,Dissociable effects of attention and expectation on perceptual sensitivity to action-outcomes,"George N, Mary Sunny M.",Conscious Cogn,2022,10.1016/j.concog.2022.103374
265,Oscillatory correlates of linguistic prediction and modality effects during listening to auditory-only and audiovisual sentences,"Brunellière A, Vincent M, Delrue L.",Int J Psychophysiol,2022,10.1016/j.ijpsycho.2022.06.003
266,Benefits and costs of predictive processing: How sentential constraint and word expectedness affect memory formation,"Höltje G, Mecklinger A.",Brain Res,2022,10.1016/j.brainres.2022.147942
267,[The predictive mind: An introduction to Bayesian Brain Theory],"Bottemanne H, Longuet Y, Gauld C.",Encephale,2022,10.1016/j.encep.2021.09.011
268,Mastering uncertainty: A predictive processing account of enjoying uncertain success in video game play,"Deterding S, Andersen MM, Kiverstein J, Miller M.",Front Psychol,2022,10.3389/fpsyg.2022.924953
269,The neural response at the fundamental frequency of speech is modulated by word-level acoustic and linguistic information,"Kegler M, Weissbart H, Reichenbach T.",Front Neurosci,2022,10.3389/fnins.2022.915744
270,The Temporality of Aberrant Salience and Schizophrenia,Vogel DHV.,Front Integr Neurosci,2022,10.3389/fnint.2022.925716
271,When seeing is not believing: A mechanistic basis for predictive divergence,"Caporuscio C, Fink SB, Sterzer P, Martin JM.",Conscious Cogn,2022,10.1016/j.concog.2022.103334
272,Disconnection from prediction: A systematic review on the role of right temporoparietal junction in aberrant predictive processing,"Masina F, Pezzetta R, Lago S, Mantini D, Scarpazza C, Arcara G.",Neurosci Biobehav Rev,2022,10.1016/j.neubiorev.2022.104713
273,"Leaving the door open: Trauma, updating, and the development of PTSD symptoms","Sopp MR, Haim-Nachum S, Wirth BE, Bonanno GA, Levy-Gigi E.",Behav Res Ther,2022,10.1016/j.brat.2022.104098
274,Theories of consciousness,"Seth AK, Bayne T.",Nat Rev Neurosci,2022,10.1038/s41583-022-00587-4
275,Developmental changes in how children generalize from their experience to support predictive linguistic processing,Borovsky A.,J Exp Child Psychol,2022,10.1016/j.jecp.2021.105349
276,The promise of layer-specific neuroimaging for testing predictive coding theories of psychosis,"Haarsma J, Kok P, Browning M.",Schizophr Res,2022,10.1016/j.schres.2020.10.009
277,Atonal Music as a Model for Investigating Exploratory Behavior,"Mencke I, Omigie D, Quiroga-Martinez DR, Brattico E.",Front Neurosci,2022,10.3389/fnins.2022.793163
278,"Relating Glutamate, Conditioned, and Clinical Hallucinations via 1H-MR Spectroscopy","Leptourgos P, Bansal S, Dutterer J, Culbreth A, Powers A, Suthaharan P, Kenney J, Erickson M, Waltz J, Wijtenburg SA, Gaston F, Rowland LM, Gold J, Corlett P.",Schizophr Bull,2022,10.1093/schbul/sbac006
279,A Predictive Processing Model of Episodic Memory and Time Perception,"Fountas Z, Sylaidi A, Nikiforou K, Seth AK, Shanahan M, Roseboom W.",Neural Comput,2022,10.1162/neco_a_01514
280,What Eye Movement Reveals Concerning Age-Related Dissociation in Syntactic Prediction: Evidence From a Verb-Final Language,"Oh SJ, Sung JE, Lee SE.",J Speech Lang Hear Res,2022,10.1044/2022_JSLHR-21-00338
281,Examining the context benefit in older adults: A combined behavioral-electrophysiologic word identification study,"Bieber RE, Brodbeck C, Anderson S.",Neuropsychologia,2022,10.1016/j.neuropsychologia.2022.108224
282,Extended active inference: Constructing predictive cognition beyond skulls,"Constant A, Clark A, Kirchhoff M, Friston KJ.",Mind Lang,2022,10.1111/mila.12330
283,"Allostasis, Action, and Affect in Depression: Insights from the Theory of Constructed Emotion","Shaffer C, Westlin C, Quigley KS, Whitfield-Gabrieli S, Barrett LF.",Annu Rev Clin Psychol,2022,10.1146/annurev-clinpsy-081219-115627
284,Noradrenergic deficits contribute to apathy in Parkinson's disease through the precision of expected outcomes,"Hezemans FH, Wolpe N, O'Callaghan C, Ye R, Rua C, Jones PS, Murley AG, Holland N, Regenthal R, Tsvetanov KA, Barker RA, Williams-Gray CH, Robbins TW, Passamonti L, Rowe JB.",PLoS Comput Biol,2022,10.1371/journal.pcbi.1010079
285,I overthink-Therefore I am not: An active inference account of altered sense of self and agency in depersonalisation disorder,"Ciaunica A, Seth A, Limanowski J, Hesp C, Friston KJ.",Conscious Cogn,2022,10.1016/j.concog.2022.103320
286,Copredication in Context: A Predictive Processing Approach,"Löhr G, Michel C.",Cogn Sci,2022,10.1111/cogs.13138
287,Predictive language processing in young autistic children,"Prescott KE, Mathée-Scott J, Reuter T, Edwards J, Saffran J, Ellis Weismer S.",Autism Res,2022,10.1002/aur.2684
288,Dendritic Domain-Specific Sampling of Long-Range Axons Shapes Feedforward and Feedback Connectivity of L5 Neurons,"Galloni AR, Ye Z, Rancz E.",J Neurosci,2022,10.1523/JNEUROSCI.1620-21.2022
289,The neural coding framework for learning generative models,"Ororbia A, Kifer D.",Nat Commun,2022,10.1038/s41467-022-29632-7
290,Predictive Processing in Sign Languages: A Systematic Review,"Radošević T, Malaia EA, Milković M.",Front Psychol,2022,10.3389/fpsyg.2022.805792
291,Egocentric Chunking in the Predictive Brain: A Cognitive Basis of Expert Performance in High-Speed Sports,Lappi O.,Front Hum Neurosci,2022,10.3389/fnhum.2022.822887
292,[Belief updating and mood congruence in depressive disorder],"Bottemanne H, Frileux S, Guesdon A, Fossati P.",Encephale,2022,10.1016/j.encep.2021.06.015
293,Toward the unity of pathological and exertional fatigue: A predictive processing model,"Greenhouse-Tucknott A, Butterworth JB, Wrightson JG, Smeeton NJ, Critchley HD, Dekerle J, Harrison NA.",Cogn Affect Behav Neurosci,2022,10.3758/s13415-021-00958-x
294,The auditory brain in action: Intention determines predictive processing in the auditory system-A review of current paradigms and findings,"Korka B, Widmann A, Waszak F, Darriba Á, Schröger E.",Psychon Bull Rev,2022,10.3758/s13423-021-01992-z
295,"Prediction-error neurons in circuits with multiple neuron types: Formation, refinement, and functional implications","Hertäg L, Clopath C.",Proc Natl Acad Sci U S A,2022,10.1073/pnas.2115699119
296,"The Role of Predictions, Their Confirmation, and Reward in Maintaining the Self-Concept","Mokady A, Reggev N.",Front Hum Neurosci,2022,10.3389/fnhum.2022.824085
297,A robot or a dumper truck? Facilitating play-based social learning across neurotypes,"Paldam E, Roepstorff A, Steensgaard R, Lundsgaard SS, Steensig J, Gebauer L.",Autism Dev Lang Impair,2022,10.1177/23969415221086714
