,title,authors,where_published,year,doi
0,Friston's free energy principle: new life for psychoanalysis?,Holmes J.,BJPsych Bull,2022,10.1192/bjb.2021.6
1,Karl Friston: resisting the philosopause,Holmes D.,Lancet Psychiatry,2014,10.1016/S2215-0366(14)70292-5
2,SPM: a history,Ashburner J.,Neuroimage,2012,10.1016/j.neuroimage.2011.10.025
3,Making Worlds in a Waking Dream: Where Bion Intersects Friston on the Shaping and Breaking of Psychic Reality,Mellor MJ.,Front Psychol,2018,10.3389/fpsyg.2018.01674
4,The Dialectics of Free Energy Minimization,"Boonstra EA, Slagter HA.",Front Syst Neurosci,2019,10.3389/fnsys.2019.00042
5,Understanding visual hallucinations: A new synthesis,"Collerton D, Barnes J, Diederich NJ, Dudley R, Ffytche D, Friston K, Goetz CG, Goldman JG, Jardri R, Kulisevsky J, Lewis SJG, Nara S, O'Callaghan C, Onofrj M, Pagonabarraga J, Parr T, Shine JM, Stebbins G, Taylor JP, Tsuda I, Weil RS.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2023.105208
6,The contemplative exercise through the lenses of predictive processing: A promising approach,Pagnoni G.,Prog Brain Res,2019,10.1016/bs.pbr.2018.10.022
7,Free-energy minimization and the dark-room problem,"Friston K, Thornton C, Clark A.",Front Psychol,2012,10.3389/fpsyg.2012.00130
8,Beyond the death drive: Entropy and free energy,Rabeyron T.,Int J Psychoanal,2021,10.1080/00207578.2021.1932514
9,Brain evolution and the meaning of catatonia - An update,Fricchione G.,Schizophr Res,2023,10.1016/j.schres.2023.01.026
10,"The Clinical, Philosophical, Evolutionary and Mathematical Machinery of Consciousness: An Analytic Dissection of the Field Theories and a Consilience of Ideas",Kesserwani H.,Cureus,2020,10.7759/cureus.12139
11,Lessons From Astronomy and Biology for the Mind-Copernican Revolution in Neuroscience,Northoff G.,Front Hum Neurosci,2019,10.3389/fnhum.2019.00319
12,"Sex and Prediction Error, Part 2: Jouissance and The Free Energy Principle in Neuropsychoanalysis",Dall'Aglio J.,J Am Psychoanal Assoc,2021,10.1177/00030651211042377
13,From Learning to Consciousness: An Example Using Expected Float Entropy Minimisation,Mason JWD.,Entropy (Basel),2019,10.3390/e21010060
14,How mood tunes prediction: a neurophenomenological account of mood and its disturbance in major depression,"Kiverstein J, Miller M, Rietveld E.",Neurosci Conscious,2020,10.1093/nc/niaa003
15,"""Voxel-based morphometry"" should not be used with imperfectly registered images",Bookstein FL.,Neuroimage,2001,10.1006/nimg.2001.0770
16,The embodied transcendental: a Kantian perspective on neurophenomenology,"Khachouf OT, Poletti S, Pagnoni G.",Front Hum Neurosci,2013,10.3389/fnhum.2013.00611
17,Causal modelling and brain connectivity in functional magnetic resonance imaging,Friston K.,PLoS Biol,2009,10.1371/journal.pbio.1000033
18,Free Energy and Virtual Reality in Neuroscience and Psychoanalysis: A Complexity Theory of Dreaming and Mental Disorder,Hopkins J.,Front Psychol,2016,10.3389/fpsyg.2016.00922
19,A Free Energy Principle for Biological Systems,Karl F.,Entropy (Basel),2012,10.3390/e14112100
20,Making connections about brain connectivity,"Stone JV, Kötter R.",Trends Cogn Sci,2002,10.1016/s1364-6613(02)01943-5
